Start Point,End Point,Steps,Distance (cm),Time (s),Path,Specific Path
시작점,매점,153,"4,035",94,시작점 --> 매점,시작점 --> 11-5반 옆 계단 --> 한울마당 가로 질러 매점
시작점,매점,168,"9,143.50",104,시작점 --> 매점,시작점 --> 신관 중앙 계단 --> 매점
시작점,매점,246,"13,131",151,시작점 --> 매점,시작점 --> 사회실 옆 계단 --> 1층 상담실 --> 매점
시작점,매점,151,"4,035",90,시작점 --> 매점,시작점 --> 11-5반 옆 계단 --> 한울마당 가로 질러 매점
시작점,매점,155,"4,035",98,시작점 --> 매점,시작점 --> 11-5반 옆 계단 --> 한울마당 가로 질러 매점
시작점,매점,166,"9,143.50",102,시작점 --> 매점,시작점 --> 신관 중앙 계단 --> 매점
시작점,매점,168,"9,143.50",110,시작점 --> 매점,시작점 --> 신관 중앙 계단 --> 매점
시작점,매점,248,"13,131",161,시작점 --> 매점,시작점 --> 사회실 옆 계단 --> 1층 상담실 --> 매점
시작점,매점,244,"13,131",148,시작점 --> 매점,시작점 --> 사회실 옆 계단 --> 1층 상담실 --> 매점
시작점,도서관,317,"16,950",194.8,시작점 --> 도서관,시작점 → 계단 1 → 7-5 / 12-3 → 계단 0 → 2-3 → 세종4 → 도서관 3거리 코너 → 도서관
시작점,도서관,411,"21,954",252.5,시작점 --> 도서관,시작점 → 계단 2 → 7-5 → 2-3 → 세종4 → 도서관 3거리 코너 → 도서관
시작점,도서관,500,"26,755",307,시작점 --> 도서관,시작점 → 계단 3 → 7-5 → 2-3 → 세종4 → 도서관 3거리 코너 → 도서관
시작점,도서관,293,"15,666",180.5,시작점 --> 도서관,시작점 → 계단 1 → 유치원 옆 훈민정음 벽 → 유치원 원장실 → 행정실3 → 도서관 계단 → 도서관
시작점,도서관,308,"16,478",189.7,시작점 --> 도서관,시작점 → 계단 2 → 유치원 옆 화장실→ 전시실 → 행정실3 → 도서관 계단 → 도서관
시작점,도서관,401,"21,449",246.2,시작점 --> 도서관,시작점 → 계단 3 → 상담실 → 유치원 옆 화장실 → 전시실 → 행정실3 → 도서관 계단 → 도서관
